,,,,,,,,,,,,
,議事録,https://docs.google.com/document/d/1jwlZyrSenmx46rN-c14RtH55KRJ9NwGsuiboA3X9sXM/edit?usp=sharing,,,,,,,,,,
,No.,記入者,施策案名,会社名,想定効果,費用,詳細,,,,,
,1,菅原,リファラル（入社月限定で紹介して内定決まったらすぐ振り込み）,,1-2名の紹介,10万円/人,,,,,,
,2,魚澤,イベント,全社,月間1~20名の採用,"10~25万円/回

ｰｰｰｰｰｰｰ内訳ｰｰｰｰｰｰｰ
会場費：2~5万円/回
飲食代：5~10万円/回
出演料：2~8万円/回
","エンジニア向けイベントを開催 / 各社の訴求に合わせてテーマを決める
・LT会 / 技術勉強会 / テックカンファレンス / ハッカソン
connpass/X/Peatix/こくちーずなどで収集
過去候補者にもイベント開催の旨を一斉配信で、掘り起こしの効果も測れる
Youtubeでもオンライン公開→詳細に求人動線を設けて採用もアピール
最新技術を発信していることが、エンジニアの興味を引くきっかけに。またリファラルにもつながる。

ゲーム会

テーマ例：
四半期ごとにテクノロジートレンドをシリーズ化、AI導入事例、セキュリティ、SES × AIキャリア実践

・PM参加（ケータリングや会場準備）
・30 / 50 /100人規模
・ハッカソンでは、1~3位で賞金+転職以降もあれば、新規事業として融資して新たな部署を立ち上げ許可する
→PMFなども含めて",,,"ベンチマークの決定
日にちを決める",,
,3,上田,リファラル会食施策,全社,"4-8名の紹介（回/2週間）
ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ
1回の会食
会食：エンジニア4名＋営業1名の場合
内定承諾：2名
入社：1名
ｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰｰ","計：8.2万円～10.2万円/回

ｰｰｰｰｰｰｰ内訳ｰｰｰｰｰｰｰ
会食：3万円/回
営業担当：1.4万円～3.4万円
紹介元（エンジニア）：0.8万円
紹介をされた側：3万円
※エンジニアへのリファラル
　費用20万円～21万円は除く。","①例えば、金曜日の退勤時、同じ現場にアサインしているエンジニア4－5名と、案件を決めた営業で会食。
②採用面接に進み、エンジニアから内定承諾を頂いた場合、その営業担当者に2千円/人の支給。
③入社した場合、該当営業者に単価連動で1万～3万円を支給。
該当エンジニアに対して、会食設定時点で、2千円/人の支給。
尚、紹介元のエンジニアには20万～21万円を支給。（各子会社規定による）、紹介された側には一律3万円支給。
・現場での引き抜き行為と見なされる可能性があるため応相談。
※1.金額は応相談
※2.営業側のモチベーションを上げるための、金額設定が重要。
※3.単月の入社数を営業側の評価制度にも組み込みたい。
※井上さん、市川さんに相談済み。","このオペレーション発信して、決めていきましょう

今月中にまず初めて行く",,,,"■メモ：250912
会食は2回必要。懸念点は引き抜き行為と見なされること。
前提条件：案件単価の高い要員を選定
①初回で営業と所属上司（クローザー）の紹介。
メンバー：岸中、滝田、佐藤、井上等、クローザーと1名。
※クオーター、月末月初以外であれば参加可能。
②2回目で、リファラルにという形で畳みかけ。
※女性エンジニアと女性営業。
※マネージャーとは仲良い程で、中間層とSEは抜けるかも。
たまたま知り合うという程にしたい。"
,4,伊藤,Youtube広告,エンジニアのミカタ,月間1~10名の採用 認知度拡大,20万円〜/月,"ゲームやロボット系の動画等、エンジニアが興味ありそうな動画に広告を入れ込む。社名がインパクトあるのでリフレイン効果狙う。ミカちゃん使うのもありかと。
エンジニアインタビュー
https://crevo.jp/video-square/marketing/youtube-ad-price/
https://videoworks.com/column/youtubead-price/",,,,,
,5,飯田,https://docs.google.com/spreadsheets/d/1-6SYPFj7Wxe5cNnZbSviBGLceDjZVALCpsWaoK0S0eQ/edit?gid=0#gid=0,全社,,,,,,,,
,6,魚澤,社外イベント参加によるリファラル,各社,,人×5千円/回,エンジニア向けの交流会に自社エンジニアを参加させて、そこで仲良くなったエンジニアと会食を組ませる。,着座2万,三人参加させる,Wantedly/Youturst,,
,7,堀江,1社1新媒体,各社,新たなチャネルの開拓,ものによる,依存する媒体が傾注することによるリスクを排除。既存の効果が低いものについて、辞めることを本格検討するきっかけにもなる。,,,,,
,8,飯田,エンジニア交流会に潜入,全社,リアルな繋がりを最短で持てる,2000-5000円？／1回,https://www.kokuchpro.com/s/area-%E6%9D%B1%E4%BA%AC%E9%83%BD/g-2/gs-211/,飯田さん実施（先導して参加）,,,,
,9,池田,SES交流会に代表が参加,各社,3～5名の採用,0円,SES企業の営業が基本的には集まる交流会だが、エンジニアも参加してることあるのでそこでリファラル,営業二人誘って、それぞれのイベントに参加,,,,
,10,池田,リファラル手当+旅行券プレゼント企画,各社,5名,"105万
リファラル手当100万
旅行券5万","1年間で5名リファラルしていただいた方にリファラル手当とは別に特典！
旅行券でもいいと思うし、他にも良いものがあれば！
リファラルするとメリットがあることを自社エンジニアに周知することで強化できるのでは。",,,,,
,11,池田,外部の方も参加できる勉強会実施,各社,10名,"10万
ちょっとしたケータリングと場所代","Xで参加者を募り、勉強会実施
講師は山田さん、岡田、自社エンジニア数名に協力していただく",,,,,
,12,小熊,ミカちゃんオンライン交流会・勉強会,ミカタ,3～5名,"0円
小熊星野岡田の人件費","社内外のエンジニアを対象に開発エンジニア・インフラエンジニア・言語別などで毎回内容を変えて月１～２開催してみるとか。
※LIVE配信もいいけど荒れたら困るので、ひとまず人を選別して開催。（変なひとは定員オーバーとかで断る）","9/22か23に開催
→岡田さん星野さんに予定聞く",,,,
,13,畑下,客先での交流促進ランチ代補助,各社,リファラルの前段階,平均1人2500円/月,上限5000円ぐらいでランチ代を補助し、まずは現場の人と仲良くなって接点を持ってもらう。(誘う口実にもなる),,,,,
,14,畑下,マネージャークラス以上のエンジニア向けの給与体系/疑似組織,ケンブリから？,月1名程度,粗利が少し低下？,"例：山田というPMが主体の「山田チーム」のようなものを作る。現場先からメンバークラスのエンジニアを引き抜いたりして自チームに入れた場合、通常のリファラル手当に加えてちょっとしたインセンティブが発生する仕組み。
会社への帰属意識の醸成にもつながる。
体制での案件参画にもつながるが、営業側との連携がかなり必要でそのレベルでの実現を目指すとハードルは高そう。",,,,,
,15,,,,,,,,,,,
,16,,,,,,,,,,,
,17,,,,,,,,,,,
,18,,,,,,,,,,,
,19,,,,,,,,,,,
,20,,,,,,,,,,,
